timestamp,sender,channel,media_type,filename,local_path,source_url,note
2026-04-03 00:00,Bedi Ruan,💬-general,video,Unity_eZCrnG7Z28.mp4,,https://cdn.discordapp.com/attachments/1465070525851107420/1489519940414476338/Unity_eZCrnG7Z28.mp4,"nice×2, clap×2"
2026-04-05 19:07,Duo Yu,💬-general,audio,ttsmaker-file-2026-4-5-19-6-22.mp3,,https://cdn.discordapp.com/attachments/1465070525851107420/1490533421397709023/ttsmaker-file-2026-4-5-19-6-22.mp3,8.58 KB; Ending sound
2026-04-05 19:07,Duo Yu,💬-general,audio,ttsmaker-file-2026-4-5-19-5-17.mp3,,https://cdn.discordapp.com/attachments/1465070525851107420/1490533421666275338/ttsmaker-file-2026-4-5-19-5-17.mp3,9.70 KB; Ending sound
2026-04-07 20:38,Jason Tan,💬-general,audio,Reference.mp3,,https://cdn.discordapp.com/attachments/1465070525851107420/1491280937164603543/Reference.mp3,3.49 MB
2026-04-08 20:06,Jason Tan,💬-general,image,image-01.png,media/2026-04-08_2006_Jason-Tan_image-01.png,,原始图片已保存；文字：无敌了孩子们
2026-04-10 17:17,Red Wang,💬-general,video,IMG_1394.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1492317525977993336/IMG_1394.mov,doing the base for the controller
2026-04-10 20:39,Red Wang,💬-general,video,79757156753__C8C6DABF-3A41-4D2C-9A8F-AEC6A621C35B.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1492368502659481620/79757156753__C8C6DABF-3A41-4D2C-9A8F-AEC6A621C35B.mov,
2026-04-10 21:06,Red Wang,💬-general,video,IMG_1399.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1492375298585661542/IMG_1399.mov,
2026-04-10 21:15,Red Wang,💬-general,video,IMG_1400.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1492377504072335561/IMG_1400.mov,The port left for the gyro
2026-04-11 17:58,Rebecca Zhang,💬-general,video,IMG_1496.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1492690460102098954/IMG_1496.mov,
2026-04-14 00:44,Bedi Ruan,💬-general,video,Unity_jHeMZ6rNJh.mp4,,https://cdn.discordapp.com/attachments/1465070525851107420/1493517360320217158/Unity_jHeMZ6rNJh.mp4,combo progression bar
2026-04-14 17:12,Bedi Ruan,💬-general,video,Unity_WzSdMmLdVx.mp4,,https://cdn.discordapp.com/attachments/1465070525851107420/1493766023172722688/Unity_WzSdMmLdVx.mp4,
2026-04-14 21:50,Jay Lin,💬-general,archive,heat animation -20260415T044729Z-3-001.zip,,https://cdn.discordapp.com/attachments/1465070525851107420/1493835839761940581/heat_animation_-20260415T044729Z-3-001.zip,15.78 MB
2026-04-15 21:07,Bedi Ruan,💬-general,video,IMG_6131.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494187410886496286/IMG_6131.mov,
2026-04-15 21:15,Rebecca Zhang,💬-general,video,IMG_1552.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494189473876017363/IMG_1552.mov,
2026-04-16 01:30,Jason Tan,💬-general,video,IMG_4684.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494253730281947237/IMG_4684.mov,
2026-04-16 01:35,Jason Tan,💬-general,video,IMG_4683.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494254856465158324/IMG_4683.mov,
2026-04-16 01:36,Jason Tan,💬-general,video,IMG_4683.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494255154118000770/IMG_4683.mov,Discord showed unable to play media
2026-04-16 01:37,Jason Tan,💬-general,video,IMG_4678.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494255391142449233/IMG_4678.mov,
2026-04-16 01:37,Jason Tan,💬-general,video,IMG_4679.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1494255463892521070/IMG_4679.mov,
2026-04-16 19:41,Jay Lin,💬-general,file,Poster Mushroom.ai,,https://cdn.discordapp.com/attachments/1465070525851107420/1494528118612951070/Poster_Mushroom.ai,1.93 MB
2026-04-18 16:26,Jason Tan,💬-general,audio,"ElevenLabs_2026-04-18T23_19_45_Lauren - Friendly, Comforting and Soft_pvc_sp114_s50_sb70_se0_b_m2.mp3",,,955.85 KB
2026-04-18 16:27,Jason Tan,💬-general,audio,"ElevenLabs_2026-04-18T23_26_01_Lauren - Friendly, Comforting and Soft_pvc_sp100_s50_sb70_se0_b_m2.mp3",,,828.92 KB
2026-04-18 16:48,Jay Lin,💬-general,audio,chopstick voice.mp3,,https://cdn.discordapp.com/attachments/1465070525851107420/1495209490365153310/chopstick_voice.mp3,828.92 KB
2026-04-18 16:48,Jay Lin,💬-general,audio,mushroom voice.mp3,,https://cdn.discordapp.com/attachments/1465070525851107420/1495209490931253378/mushroom_voice.mp3,955.85 KB
2026-04-18 18:21,Jay Lin,💬-general,video,IMG_3316.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1495232731632894044/IMG_3316.mov,
2026-04-19 22:54,Jay Lin,💬-general,file,tutorial.psd,,https://cdn.discordapp.com/attachments/1465070525851107420/1495664046018531378/tutorial.psd,4.49 MB; new tutorial
2026-04-21 19:30,Jason Tan,💬-general,audio,"ElevenLabs_2026-04-22T02_29_04_Lauren - Friendly, Comforting and Soft_pvc_sp90_s50_sb70_se0_b_m2.mp3",,,599.94 KB
2026-04-21 19:49,Duo Yu,💬-general,video,IMG_0604.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1496342072783933541/IMG_0604.mov,Rocking jump replace button jump
2026-04-21 19:49,Duo Yu,💬-general,video,IMG_0604.mov,,https://cdn.discordapp.com/attachments/1465070525851107420/1496342073790697622/IMG_0604.mov,Rocking jump replace button jump
2026-04-21 20:04,Jason Tan,💬-general,archive,Chopstick's voice.zip,,,1.10 MB
2026-04-21 21:03,Jay Lin,💬-general,archive,voice.zip,,,875.96 KB; Mushroom voice
2026-04-21 21:03,Red Wang,💬-general,file,cartoon+leaf+3d+model.glb,,,354.52 KB
2026-04-21 21:04,Red Wang,💬-general,archive,cartoon+leaf+3d+model (1).zip,,,285.69 KB
2026-04-01 21:35,Bedi Ruan,💬-general,image,6 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-07 21:27,Jason Tan,💬-general,image,3 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-07 21:51,Jason Tan,💬-general,image,3 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-11 19:54,Juliet Tong,💬-general,image,3 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-14 21:50,Jay Lin,💬-general,image,9 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-19 21:22,Jason Tan,💬-general,image,3 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-02 18:07,Rebecca Zhang,🔗-important-links,image,1 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-04-07 21:16,Juliet Tong,🔗-important-links,image,5 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-03-14 14:12,Red Wang,💸-things-to-buy,image,1 image attachment(s),,,original filename/URL not exposed; retain as Discord image placeholder
2026-03-31 20:47,estefannie,🔗-important-links,link,Facebook Marketplace,,https://www.facebook.com/marketplace/item/699289729853565/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad3314b6a-0469-4708-9d8c-fdbb8fc816e9,
2026-04-22 19:05,Juliet Tong,🔗-important-links,link,Shroom Pot Showdown Final Survey,,https://docs.google.com/forms/d/e/1FAIpQLSchJ_dfxkkBJ2BeriRnZqwAsWhAwkP_CjdCL37JiEkPf-44vQ/viewform?usp=dialog,
2026-04-04 14:38,Red Wang,🧠-research,text,,,,on my way to pick it up
2026-05-01 00:15,Red Wang,🧠-research,link,Instagram reel,,https://www.instagram.com/reel/DUGBxIwEuBN/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==,
2026-05-01 00:16,Red Wang,🧠-research,link,Instagram reel,,https://www.instagram.com/reel/DUTKJ_eE9of/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==,
2026-03-24 20:07,Kaine Johnson,😃║general_chat,link,Animal Orchestra ENTX Takeaways,,https://docs.google.com/presentation/d/1A7HRxoaEzNS-HxnqLi7xKl77KZO8UnU6utym5mmPy3I/edit?usp=sharing,Google Slides link preview
2026-04-04 18:17,estefannie,😃║general_chat,link,Laura Kampf — The Perfect Lamp,,https://www.youtube.com/watch?v=etwMkcHC3eE&t=850s,YouTube link preview
2026-04-18 17:14,Bowen Shi,😃║general_chat,video,video-527_singular_display.mov,,https://cdn.discordapp.com/attachments/1463532135141871942/1495215964080570429/video-527_singular_display.mov?ex=6aa54221&is=6aa3f0a1&hm=fcbede4733bb0581832741d00890904ac950a0506c9422b9749a8aed0e3143bd&,Discord UI: Unable to play media; 🔥×1
2026-04-18 21:03,Bowen Shi,😃║general_chat,video,video-557_singular_display.mov,,https://cdn.discordapp.com/attachments/1463532135141871942/1495273606362431609/video-557_singular_display.mov?ex=6aa4cf10&is=6aa37d90&hm=973aeb53c341d13d0d8daeb6208a3e19c814b316040622c0255be8d5be21ef5b&,Video after guests came in; 👍×1 ❤️×2
2026-03-24 15:51,J Andarza,📚║class-assignments,text,ENTX Survey/Data presentation instructions,,,"Quantitative and qualitative analysis; trends/conclusions; prioritized accountable action items"
2026-04-15 21:16,Bowen Shi,📚║class-assignments,text,Saturday playtest schedule,,,Edited schedule; no stable attachment URL exposed
2026-02-18 19:04,Bowen Shi,🤡║random-af,image,image-placeholder-01,,,[UI image placeholder; food cabinet announcement]
2026-04-07 19:05,Bowen Shi,🤡║random-af,image,image-placeholder-02,,,[UI image placeholder; replenished food/utensils]
2026-03-28 18:50,Keller Wang,⁉️║questions-for-instructors,image,thread-opening-image,,,[Opening image in “Using ardurino to control a speaker”]
2026-03-18 14:57,JiU Duan,⁉️║questions-for-instructors,image,thread-image,,,[Image listed on “Regarding the issue of controlling multiple speakers”]
2026-03-18 14:34,Kaine Johnson,⁉️║questions-for-instructors,image,thread-image,,,[Image listed on Ethernet-cable thread]
2026-03-13 17:44,Keller Wang,⁉️║questions-for-instructors,image,thread-image,,,[Image listed on 12V motor thread]
2026-02-24 21:58,estefannie,⁉️║questions-for-instructors,image,thread-image,,,[Image listed on Serial comm thread]
