date,time,sender,media_type,media_status,readable_file,original_storage,workspace_copy,confidence,notes
2026-04-03,18:19,刹那繁红,video,original video missing,decoded_media/2026-04-03_1819_刹那繁红_video-thumb.jpg,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/video/2026-04/c77772973bd8e3b7effdec89f8e7f355.mp4,,high,Matched visually: chat screenshot shows same 0:26 arcade-table video; thumbnail is readable.
2026-04-21,00:23,pingpingdandancaishizhen,image_set,original encrypted attachment present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-04/Img/32221cad073390f5602662c2aacc3e18.dat,media_original/2026-04/Img/32221cad073390f5602662c2aacc3e18.dat,medium,Matched visually: left-aligned bubble at 4/21 00:23 shows the two-panel storyboard image; the local attachment was written at 00:26.
2026-03-31,20:56,软隽辰,image,original encrypted attachment present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-03/Img/5b573b6121235ef46cea237d7e087279.dat,media_original/2026-03/Img/5b573b6121235ef46cea237d7e087279.dat,high,Matched visually: soft隽辰 left bubble displays the blue panel with a large white 2; timestamp is visible in the chat.
2026-04-01,19:15,愿有月光相伴,image,original encrypted attachment present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-04/Img/fc00031346fdf0805b28f73477aba757.dat,media_original/2026-04/Img/fc00031346fdf0805b28f73477aba757.dat,medium,Matched visually: left bubble shows a wide open-book/storyboard image immediately after the 4/1 19:15 divider.
2026-04-01,,Jason Tan,image,original encrypted attachment present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-04/Img/c13efed5e12b69f8a954be885faec5c9.dat,media_original/2026-04/Img/c13efed5e12b69f8a954be885faec5c9.dat,low,Visible below the 4/1 19:15 image as a hotpot/table image; exact bubble time needs one more scroll frame.
2026-03-31,20:23,DUO,sticker,UI-visible; original sticker asset not located,, ,,high,Main chat shows DUO left bubble with animated NICE sticker; followed by Jason Tan recalled-message system row.
2026-03-31,20:42,Jason Tan,image,original encrypted attachment present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-03/Img/d0795067be91e99451aa25b706acbb31.dat,media_original/2026-03/Img/d0795067be91e99451aa25b706acbb31.dat,medium,Main chat visually pairs Jason Tan left bubble with hotpot/table image; local attachment timestamp is 20:44.
2026-03-31,20:42,愿有月光相伴,image_set,original encrypted attachments present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-03/Img/2a8f5fbcae370ecb98877b3ff1c1c913.dat,media_original/2026-03/Img/2a8f5fbcae370ecb98877b3ff1c1c913.dat,medium,Main chat visually pairs the following left bubbles with the open-book/storyboard illustration; exact individual attachment split needs image-level decode.
2026-04-19,13:38,pingpingdandancaishizhen,image,original encrypted attachments present; standard decode pending,,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/attach/2b112050246a7004222be5f9ef930a3a/2026-04/Img/f54e0b0b79ad0812ee59376d3c187091.dat,media_original/2026-04/Img/f54e0b0b79ad0812ee59376d3c187091.dat,high,Chat History screenshot visibly shows pingpingdandancaishizhen sending the still image at 13:38.
2026-04-21,19:59,DUO,file_video,workspace copy present,media_original/files/2026-04/screen-capture (44).webm,/Users/redwang/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_l3ri5n8p7syk11_8645/msg/file/2026-04/screen-capture (44).webm,high,high,"Chat History visibly shows DUO: tutorial screen recording; WeChat file label is screen-capture (44).webm, 2.2M."
